"","player","nationality","position","squad","age","league","goals","Season"
"1266","Bram Nuytinck","nl NED","DF","Udinese",27,"Serie A",1,"201718#"
"1267","Gerrit Holtmann","de GER","DF,FW","Mainz 05",22,"Bundesliga",2,"201718#"
"1268","Nigel de Jong","nl NED","MF","Mainz 05",32,"Bundesliga",0,"201718#"
"1269","Kenan Kodro","ba BIH","FW","Mainz 05",23,"Bundesliga",0,"201718#"
"1270","Salih Özcan","de GER","MF","Köln",19,"Bundesliga",0,"201718#"
"1271","Alexandru Maxim","ro ROU","MF,FW","Mainz 05",27,"Bundesliga",2,"201718#"
"1272","Florian Müller","de GER","GK","Mainz 05",19,"Bundesliga",0,"201718#"
"1273","Karim Onisiwo","at AUT","DF,FW","Mainz 05",25,"Bundesliga",0,"201718#"
"1274","Robin Quaison","se SWE","FW","Mainz 05",23,"Bundesliga",4,"201718#"
"1275","Jairo Samperio","es ESP","MF,FW","Mainz 05",24,"Bundesliga",0,"201718#"
"1276","Francesco Cassata","it ITA","MF","Sassuolo",20,"Serie A",1,"201718#"
"1277","Anthony Ujah","ng NGA","FW","Mainz 05",26,"Bundesliga",0,"201718#"
"1278","Robin Zentner","de GER","GK","Mainz 05",22,"Bundesliga",0,"201718#"
"1279","Sergio Agüero","ar ARG","FW","Manchester City",29,"Premier League",21,"201718#"
"1280","Claudio Bravo","cl CHI","GK","Manchester City",34,"Premier League",0,"201718#"
"1281","Danilo","br BRA","DF","Manchester City",26,"Premier League",3,"201718#"
"1282","Kevin De Bruyne","be BEL","MF","Manchester City",26,"Premier League",8,"201718#"
"1283","Stefano Sensi","it ITA","MF","Sassuolo",21,"Serie A",2,"201718#"
"1284","Brahim Díaz","es ESP","FW,MF","Manchester City",17,"Premier League",0,"201718#"
"1285","Ederson","br BRA","GK","Manchester City",23,"Premier League",0,"201718#"
"1286","Fernandinho","br BRA","MF","Manchester City",32,"Premier League",5,"201718#"
"1287","Jeff Reine-Adélaïde","fr FRA","MF,FW","Angers",19,"Ligue 1",0,"201718#"
"1288","Gabriel Jesus","br BRA","FW","Manchester City",20,"Premier League",13,"201718#"
"1289","Alessandro Bastoni","it ITA","DF","Atalanta",18,"Serie A",0,"201718#"
"1290","Filip Helander","se SWE","DF","Bologna",24,"Serie A",0,"201718#"
"1291","Paul Baysse","fr FRA","DF","Bordeaux",29,"Ligue 1",0,"201718#"
"1292","Benjamin Mendy","fr FRA","DF","Manchester City",23,"Premier League",0,"201718#"
"1293","Kevin Long","ie IRL","DF","Burnley",26,"Premier League",1,"201718#"
"1294","Leroy Sané","de GER","FW","Manchester City",21,"Premier League",10,"201718#"
"1295","Bernardo Silva","pt POR","FW,MF","Manchester City",22,"Premier League",6,"201718#"
"1296","David Silva","es ESP","MF","Manchester City",31,"Premier League",9,"201718#"
"1297","Raheem Sterling","eng ENG","FW","Manchester City",22,"Premier League",18,"201718#"
"1298","Gustavo Cabral","ar ARG","DF","Celta Vigo",31,"La Liga",1,"201718#"
"1299","Scott Arfield","ca CAN","FW,MF","Burnley",28,"Premier League",2,"201718#"
"1300","Kyle Walker","eng ENG","DF","Manchester City",27,"Premier League",0,"201718#"
"1301","Oleksandr Zinchenko","ua UKR","DF","Manchester City",20,"Premier League",0,"201718#"
"1302","Mattia Bani","it ITA","DF","Chievo",23,"Serie A",0,"201718#"
"1303","Manuel Gulde","de GER","DF","Freiburg",26,"Bundesliga",1,"201718#"
"1304","Michael Carrick","eng ENG","MF","Manchester Utd",36,"Premier League",0,"201718#"
"1305","Matteo Darmian","it ITA","DF","Manchester Utd",27,"Premier League",0,"201718#"
"1306","Beni Baningime","cd COD","MF","Everton",18,"Premier League",0,"201718#"
"1307","David de Gea","es ESP","GK","Manchester Utd",26,"Premier League",0,"201718#"
"1308","Mauro Arambarri","uy URU","MF","Getafe",21,"La Liga",1,"201718#"
"1309","Philipp Lienhart","at AUT","DF","Freiburg",21,"Bundesliga",0,"201718#"
"1310","Marc Muniesa","es ESP","DF","Girona",25,"La Liga",0,"201718#"
"1311","Jesse Lingard","eng ENG","MF,FW","Manchester Utd",24,"Premier League",8,"201718#"
"1312","Romelu Lukaku","be BEL","FW","Manchester Utd",24,"Premier League",16,"201718#"
"1313","Anthony Martial","fr FRA","FW,MF","Manchester Utd",21,"Premier League",9,"201718#"
"1314","Juan Mata","es ESP","FW,MF","Manchester Utd",29,"Premier League",3,"201718#"
"1315","Rômulo","it ITA","MF,DF","Hellas Verona",30,"Serie A",3,"201718#"
"1316","Henrikh Mkhitaryan","am ARM","MF,FW","Manchester Utd",28,"Premier League",1,"201718#"
"1317","Andy King","wal WAL","MF","Leicester City",28,"Premier League",1,"201718#"
"1318","Marcus Rashford","eng ENG","FW,MF","Manchester Utd",19,"Premier League",7,"201718#"
"1319","Martín Cáceres","uy URU","DF","Hellas Verona",30,"Serie A",3,"201718#"
"1320","Sergio Romero","ar ARG","GK","Manchester Utd",30,"Premier League",0,"201718#"
"1321","Alexis Sánchez","cl CHI","FW,MF","Manchester Utd",28,"Premier League",2,"201718#"
"1322","Luke Shaw","eng ENG","DF","Manchester Utd",22,"Premier League",0,"201718#"
"1323","Sebastian Langkamp","de GER","DF","Hertha BSC",29,"Bundesliga",0,"201718#"
"1324","Fabian Lustenberger","ch SUI","MF,DF","Hertha BSC",29,"Bundesliga",0,"201718#"
"1325","Antonio Valencia","ec ECU","DF","Manchester Utd",31,"Premier League",3,"201718#"
"1326","Ashley Young","eng ENG","DF","Manchester Utd",32,"Premier League",2,"201718#"
"1327","Stefan Posch","at AUT","DF","Hoffenheim",20,"Bundesliga",0,"201718#"
"1328","Jordan Amavi","fr FRA","DF","Marseille",23,"Ligue 1",0,"201718#"
"1329","Henri Bedimo","cm CMR","DF,MF","Marseille",33,"Ligue 1",0,"201718#"
"1330","Rémy Cabella","fr FRA","MF","Marseille",27,"Ligue 1",1,"201718#"
"1331","Martín Cáceres","uy URU","DF","Lazio",30,"Serie A",1,"201718#"
"1332","Patrice Evra","fr FRA","DF","Marseille",36,"Ligue 1",0,"201718#"
"1333","Valère Germain","fr FRA","FW","Marseille",27,"Ligue 1",9,"201718#"
"1334","Luiz Gustavo","br BRA","MF,DF","Marseille",30,"Ligue 1",5,"201718#"
"1335","Boubacar Kamara","fr FRA","DF,MF","Marseille",17,"Ligue 1",0,"201718#"
"1336","Steve Mandanda","fr FRA","GK","Marseille",32,"Ligue 1",0,"201718#"
"1337","Clinton N'Jie","cm CMR","FW,MF","Marseille",23,"Ligue 1",7,"201718#"
"1338","Lucas Ocampos","ar ARG","FW,MF","Marseille",23,"Ligue 1",9,"201718#"
"1339","Dimitri Payet","fr FRA","MF,FW","Marseille",30,"Ligue 1",6,"201718#"
"1340","Yohann Pelé","fr FRA","GK","Marseille",34,"Ligue 1",0,"201718#"
"1341","Paul Baysse","fr FRA","DF","Málaga",29,"La Liga",1,"201718#"
"1342","Luis Hernández","es ESP","DF","Málaga",28,"La Liga",0,"201718#"
"1343","Hiroki Sakai","jp JPN","DF","Marseille",27,"Ligue 1",0,"201718#"
"1344","Adrián González","es ESP","MF","Málaga",29,"La Liga",3,"201718#"
"1345","Yusuf Sari","tr TUR","FW","Marseille",18,"Ligue 1",0,"201718#"
"1346","Bouna Sarr","gn GUI","DF","Marseille",25,"Ligue 1",0,"201718#"
"1347","Grégory Sertic","fr FRA","DF,MF","Marseille",27,"Ligue 1",0,"201718#"
"1348","Florian Thauvin","fr FRA","FW,MF","Marseille",24,"Ligue 1",22,"201718#"
"1349","Benoît Assou-Ekotto","cm CMR","DF","Metz",33,"Ligue 1",0,"201718#"
"1350","Iván Balliu","al ALB","DF","Metz",25,"Ligue 1",0,"201718#"
"1351","Quentin Beunardeau","fr FRA","GK","Metz",23,"Ligue 1",0,"201718#"
"1352","Farid Boulaya","dz ALG","FW,MF","Metz",24,"Ligue 1",0,"201718#"
"1353","Rémi Walter","fr FRA","MF,FW","Nice",22,"Ligue 1",1,"201718#"
"1354","Xabi Prieto","es ESP","MF","Real Sociedad",33,"La Liga",3,"201718#"
"1355","Cristián Zapata","co COL","DF","Milan",30,"Serie A",0,"201718#"
"1356","Habib Diallo","sn SEN","FW","Metz",22,"Ligue 1",0,"201718#"
"1357","Thomas Didillon","fr FRA","GK","Metz",21,"Ligue 1",0,"201718#"
"1358","Mathieu Dossevi","tg TOG","FW,MF","Metz",29,"Ligue 1",1,"201718#"
"1359","Léo Lacroix","ch SUI","DF","Saint-Étienne",25,"Ligue 1",0,"201718#"
"1360","Brian Fernández","ar ARG","FW","Metz",22,"Ligue 1",0,"201718#"
"1361","Gauthier Hein","fr FRA","FW,MF","Metz",20,"Ligue 1",0,"201718#"
"1362","Ablie Jallow","gm GAM","MF,FW","Metz",18,"Ligue 1",0,"201718#"
"1363","Yann Jouffre","fr FRA","MF,FW","Metz",33,"Ligue 1",0,"201718#"
"1364","Eiji Kawashima","jp JPN","GK","Metz",34,"Ligue 1",0,"201718#"
"1365","Georges Mandjeck","cm CMR","MF,DF","Metz",28,"Ligue 1",0,"201718#"
"1366","Florent Mollet","fr FRA","MF,FW","Metz",25,"Ligue 1",7,"201718#"
"1367","Opa Nguette","sn SEN","FW,MF","Metz",23,"Ligue 1",0,"201718#"
"1368","Ibrahima Niane","sn SEN","MF,FW","Metz",18,"Ligue 1",2,"201718#"
"1369","Julian Palmieri","fr FRA","DF,MF","Metz",30,"Ligue 1",0,"201718#"
"1370","Chris Philipps","lu LUX","MF,DF","Metz",23,"Ligue 1",0,"201718#"
"1371","Gerónimo Poblete","ar ARG","MF","Metz",24,"Ligue 1",0,"201718#"
"1372","Emmanuel Rivière","fr FRA","FW","Metz",27,"Ligue 1",5,"201718#"
"1373","Timo Letschert","nl NED","DF","Sassuolo",24,"Serie A",0,"201718#"
"1374","Nolan Roux","fr FRA","FW,MF","Metz",29,"Ligue 1",15,"201718#"
"1375","Vincent Thill","lu LUX","MF,FW","Metz",17,"Ligue 1",0,"201718#"
"1376","Matthieu Udol","fr FRA","DF","Metz",21,"Ligue 1",0,"201718#"
"1377","Marcel Benger","de GER","MF","M'Gladbach",19,"Bundesliga",0,"201718#"
"1378","Raúl Bobadilla","py PAR","FW,MF","M'Gladbach",30,"Bundesliga",0,"201718#"
"1379","Mandela Egbo","eng ENG","MF","M'Gladbach",19,"Bundesliga",0,"201718#"
"1380","Pablo Insua","es ESP","DF","Schalke 04",23,"Bundesliga",0,"201718#"
"1381","Mike van der Hoorn","nl NED","DF","Swansea City",24,"Premier League",1,"201718#"
"1382","Vincenzo Grifo","it ITA","MF,FW","M'Gladbach",24,"Bundesliga",0,"201718#"
"1383","Thorgan Hazard","be BEL","MF,FW","M'Gladbach",24,"Bundesliga",10,"201718#"
"1384","Patrick Herrmann","de GER","MF,DF","M'Gladbach",26,"Bundesliga",0,"201718#"
"1385","Jonas Hofmann","de GER","MF,FW","M'Gladbach",25,"Bundesliga",0,"201718#"
"1386","Sebastian Langkamp","de GER","DF","Werder Bremen",29,"Bundesliga",0,"201718#"
"1387","Fabian Johnson","us USA","MF,FW","M'Gladbach",29,"Bundesliga",1,"201718#"
"1388","Christoph Kramer","de GER","MF","M'Gladbach",26,"Bundesliga",3,"201718#"
"1389","Niklas Moisander","fi FIN","DF","Werder Bremen",31,"Bundesliga",2,"201718#"
"1390","Reece Oxford","eng ENG","DF,MF","M'Gladbach",18,"Bundesliga",0,"201718#"
"1391","Raffael","br BRA","FW","M'Gladbach",32,"Bundesliga",9,"201718#"
"1392","Tobias Sippel","de GER","GK","M'Gladbach",29,"Bundesliga",0,"201718#"
"1393","Yann Sommer","ch SUI","GK","M'Gladbach",28,"Bundesliga",0,"201718#"
"1394","Lars Stindl","de GER","FW,MF","M'Gladbach",28,"Bundesliga",6,"201718#"
"1395","Tobias Strobl","de GER","MF","M'Gladbach",27,"Bundesliga",0,"201718#"
"1396","Ibrahima Traoré","gn GUI","MF,FW","M'Gladbach",29,"Bundesliga",0,"201718#"
"1397","Gianluca Mancini","it ITA","DF","Atalanta",21,"Serie A",1,"201718#"
"1398","Julio Villalba","py PAR","DF,MF","M'Gladbach",18,"Bundesliga",0,"201718#"
"1399","Oscar Wendt","se SWE","DF","M'Gladbach",31,"Bundesliga",1,"201718#"
"1400","Denis Zakaria","ch SUI","MF","M'Gladbach",20,"Bundesliga",2,"201718#"
"1401","Ignazio Abate","it ITA","DF","Milan",30,"Serie A",1,"201718#"
"1402","Luca Antonelli","it ITA","DF,MF","Milan",30,"Serie A",0,"201718#"
"1403","Lucas Biglia","ar ARG","MF","Milan",31,"Serie A",1,"201718#"
"1404","David Zurutuza","es ESP","MF","Real Sociedad",31,"La Liga",0,"201718#"
"1405","Leandro Castán","br BRA","DF","Cagliari",30,"Serie A",0,"201718#"
"1406","Fabio Borini","it ITA","FW,DF","Milan",26,"Serie A",2,"201718#"
"1407","Davide Calabria","it ITA","DF","Milan",20,"Serie A",1,"201718#"
"1408","Andrea Conti","it ITA","DF","Milan",23,"Serie A",0,"201718#"
"1409","Patrick Cutrone","it ITA","FW","Milan",19,"Serie A",10,"201718#"
"1410","Gianluigi Donnarumma","it ITA","GK","Milan",18,"Serie A",0,"201718#"
"1411","Valerio Verre","it ITA","MF","Sampdoria",23,"Serie A",0,"201718#"
"1412","Manuel Locatelli","it ITA","MF","Milan",19,"Serie A",0,"201718#"
"1413","Jonas Martin","fr FRA","MF,FW","Strasbourg",27,"Ligue 1",4,"201718#"
"1414","Riccardo Montolivo","it ITA","MF","Milan",32,"Serie A",1,"201718#"
"1415","Luca Ceppitelli","it ITA","DF","Cagliari",27,"Serie A",3,"201718#"
"1416","Ricardo Rodríguez","ch SUI","DF","Milan",24,"Serie A",1,"201718#"
"1417","Wesley Lautoa","nc NCL","DF,MF","Dijon",29,"Ligue 1",0,"201718#"
"1418","André Silva","pt POR","FW","Milan",21,"Serie A",2,"201718#"
"1419","Suso","es ESP","FW","Milan",23,"Serie A",6,"201718#"
"1420","Emanuele Torrasi","it ITA","MF","Milan",18,"Serie A",0,"201718#"
"1421","Anaitz Arbilla","es ESP","DF","Eibar",30,"La Liga",2,"201718#"
"1422","Keita Baldé","sn SEN","FW,MF","Monaco",22,"Ligue 1",8,"201718#"
"1423","Diego Benaglio","ch SUI","GK","Monaco",33,"Ligue 1",0,"201718#"
"1424","Gabriel Boschilia","br BRA","FW,MF","Monaco",21,"Ligue 1",0,"201718#"
"1425","Guido Carrillo","ar ARG","FW,MF","Monaco",26,"Ligue 1",4,"201718#"
"1426","Adama Diakhaby","fr FRA","FW,MF","Monaco",21,"Ligue 1",2,"201718#"
"1427","Fabinho","br BRA","MF","Monaco",23,"Ligue 1",7,"201718#"
"1428","Rachid Ghezzal","dz ALG","FW,MF","Monaco",25,"Ligue 1",2,"201718#"
"1429","Alejandro Arribas","es ESP","DF","La Coruña",28,"La Liga",0,"201718#"
"1430","Chema","es ESP","DF","Levante",25,"La Liga",1,"201718#"
"1431","Jorge","br BRA","DF","Monaco",21,"Ligue 1",1,"201718#"
"1432","Sergio Postigo","es ESP","DF","Levante",28,"La Liga",1,"201718#"
"1433","Thomas Lemar","fr FRA","MF,FW","Monaco",21,"Ligue 1",2,"201718#"
"1434","Rony Lopes","pt POR","FW,MF","Monaco",21,"Ligue 1",15,"201718#"
"1435","Kylian Mbappé","fr FRA","FW,MF","Monaco",18,"Ligue 1",0,"201718#"
"1436","Jordi Mboula","es ESP","MF,FW","Monaco",18,"Ligue 1",1,"201718#"
"1437","Andy King","wal WAL","MF","Swansea City",28,"Premier League",2,"201718#"
"1438","Yann Bodiger","fr FRA","MF,FW","Toulouse",22,"Ligue 1",0,"201718#"
"1439","Kévin N'Doram","fr FRA","MF,DF","Monaco",21,"Ligue 1",0,"201718#"
"1440","Pietro Pellegri","it ITA","FW,MF","Monaco",16,"Ligue 1",0,"201718#"
"1441","Júnior Alonso","py PAR","DF","Lille",24,"Ligue 1",2,"201718#"
"1442","Allan Saint-Maximin","fr FRA","MF,FW","Monaco",20,"Ligue 1",0,"201718#"
"1443","Julien Serrano","fr FRA","DF","Monaco",19,"Ligue 1",0,"201718#"
"1444","Djibril Sidibé","fr FRA","DF","Monaco",25,"Ligue 1",2,"201718#"
"1445","Seydou Sy","sn SEN","GK","Monaco",21,"Ligue 1",0,"201718#"
"1446","Moussa Sylla","fr FRA","FW","Monaco",17,"Ligue 1",2,"201718#"
"1447","Rémi Walter","fr FRA","MF","Troyes",22,"Ligue 1",0,"201718#"
"1448","Almamy Touré","ml MLI","DF","Monaco",21,"Ligue 1",1,"201718#"
"1449","Chris Brunt","nir NIR","MF,DF","West Brom",32,"Premier League",0,"201718#"
"1450","Ruben Aguilar","fr FRA","DF,MF","Montpellier",24,"Ligue 1",0,"201718#"
"1451","Kévin Bérigaud","fr FRA","MF,FW","Montpellier",29,"Ligue 1",0,"201718#"
"1452","Souleymane Camara","sn SEN","FW","Montpellier",34,"Ligue 1",2,"201718#"
"1453","Diego González","es ESP","DF","Málaga",22,"La Liga",1,"201718#"
"1454","Leon Balogun","ng NGA","DF","Mainz 05",29,"Bundesliga",0,"201718#"
"1455","Keagan Dolly","za RSA","FW,MF","Montpellier",24,"Ligue 1",1,"201718#"
"1456","Paul Lasne","fr FRA","MF","Montpellier",28,"Ligue 1",1,"201718#"
"1457","Benjamin Lecomte","fr FRA","GK","Montpellier",26,"Ligue 1",0,"201718#"
"1458","Isaac Mbenza","be BEL","FW,MF","Montpellier",21,"Ligue 1",8,"201718#"
"1459","Andrei Girotto","br BRA","MF","Nantes",25,"Ligue 1",1,"201718#"
"1460","Nordi Mukiele","fr FRA","DF","Montpellier",19,"Ligue 1",0,"201718#"
"1461","Casimir Ninga","td CHA","FW,MF","Montpellier",24,"Ligue 1",1,"201718#"
"1462","Ambroise Oyongo","cm CMR","MF","Montpellier",26,"Ligue 1",0,"201718#"
"1463","Facundo Píriz","uy URU","MF","Montpellier",27,"Ligue 1",0,"201718#"
"1464","Morgan Poaty","fr FRA","MF","Montpellier",20,"Ligue 1",0,"201718#"
"1465","Jérôme Roussillon","fr FRA","DF,MF","Montpellier",24,"Ligue 1",3,"201718#"
"1466","Junior Sambia","fr FRA","MF","Montpellier",20,"Ligue 1",1,"201718#"
"1467","Stéphane Sessègnon","bj BEN","MF","Montpellier",33,"Ligue 1",1,"201718#"
"1468","Giovanni Sio","ci CIV","FW","Montpellier",28,"Ligue 1",10,"201718#"
"1469","Ellyes Skhiri","tn TUN","MF","Montpellier",22,"Ligue 1",4,"201718#"
"1470","David Alcibiade","fr FRA","DF","Nantes",25,"Ligue 1",0,"201718#"
"1471","Francesco Vicari","it ITA","DF","SPAL",22,"Serie A",0,"201718#"
"1472","Yacine Bammou","ma MAR","MF,FW","Nantes",25,"Ligue 1",3,"201718#"
"1473","Younès Kaboul","fr FRA","DF","Watford",31,"Premier League",0,"201718#"
"1474","Kalifa Coulibaly","ml MLI","FW","Nantes",25,"Ligue 1",1,"201718#"
"1475","Lamine Sané","sn SEN","DF","Werder Bremen",30,"Bundesliga",1,"201718#"
"1476","Maxime Dupé","fr FRA","GK","Nantes",24,"Ligue 1",0,"201718#"
"1477","Najib Gandi","fr FRA","MF,FW","Nantes",23,"Ligue 1",0,"201718#"
"1478","Yassine El Ghanassy","be BEL","FW,MF","Nantes",27,"Ligue 1",0,"201718#"
"1479","Guillaume Gillet","be BEL","MF","Nantes",33,"Ligue 1",0,"201718#"
"1480","José Fonte","pt POR","DF","West Ham",33,"Premier League",0,"201718#"
"1481","Jules Iloki","fr FRA","MF,FW","Nantes",25,"Ligue 1",0,"201718#"
"1482","Joris Kayembe","be BEL","FW,MF","Nantes",22,"Ligue 1",0,"201718#"
"1483","Augusto Fernández","ar ARG","MF,FW","Atlético Madrid",31,"La Liga",0,"201718#"
"1484","Enock Kwateng","fr FRA","DF","Nantes",20,"Ligue 1",0,"201718#"
"1485","Lucas Lima","br BRA","DF,FW","Nantes",25,"Ligue 1",2,"201718#"
"1486","Andrew Surman","eng ENG","MF","Bournemouth",30,"Premier League",2,"201718#"
"1487","Préjuce Nakoulma","bf BFA","FW","Nantes",30,"Ligue 1",3,"201718#"
"1488","Santy Ngom","sn SEN","FW,MF","Nantes",24,"Ligue 1",1,"201718#"
"1489","Víctor Laguardia","es ESP","DF","Alavés",27,"La Liga",2,"201718#"
"1490","Samuel Bastien","be BEL","MF,FW","Chievo",20,"Serie A",1,"201718#"
"1491","Emiliano Sala","ar ARG","FW","Nantes",26,"Ligue 1",12,"201718#"
"1492","Adrien Thomasson","fr FRA","MF,FW","Nantes",23,"Ligue 1",5,"201718#"
"1493","Abdoulaye Touré","fr FRA","MF","Nantes",23,"Ligue 1",1,"201718#"
"1494","Thomas Heurtaux","fr FRA","DF","Hellas Verona",29,"Serie A",0,"201718#"
"1495","Patric","es ESP","DF,MF","Lazio",24,"Serie A",0,"201718#"
"1496","Ahmad Benali","ly LBY","MF","Crotone",25,"Serie A",1,"201718#"
"1497","José Callejón","es ESP","FW","Napoli",30,"Serie A",10,"201718#"
"1498","Unai Bustinza","es ESP","DF","Leganés",25,"La Liga",2,"201718#"
"1499","Amadou Diawara","gn GUI","MF","Napoli",20,"Serie A",1,"201718#"
"1500","Faouzi Ghoulam","dz ALG","DF","Napoli",26,"Serie A",2,"201718#"
"1501","Emanuele Giaccherini","it ITA","FW","Napoli",32,"Serie A",0,"201718#"
"1502","Elseid Hysaj","al ALB","DF","Napoli",23,"Serie A",0,"201718#"
"1503","Lorenzo Insigne","it ITA","FW","Napoli",26,"Serie A",8,"201718#"
"1504","Jorginho","it ITA","MF","Napoli",25,"Serie A",2,"201718#"
"1505","Guillermo Maripán","cl CHI","DF","Alavés",23,"La Liga",0,"201718#"
"1506","Christian Maggio","it ITA","DF","Napoli",35,"Serie A",0,"201718#"
"1507","Dries Mertens","be BEL","FW","Napoli",30,"Serie A",18,"201718#"
"1508","Arkadiusz Milik","pl POL","FW,MF","Napoli",23,"Serie A",5,"201718#"
"1509","Adam Ounas","dz ALG","FW,MF","Napoli",20,"Serie A",0,"201718#"
"1510","Pepe Reina","es ESP","GK","Napoli",34,"Serie A",0,"201718#"
"1511","Gonzalo Escalante","ar ARG","MF","Eibar",24,"La Liga",1,"201718#"
"1512","Mário Rui","pt POR","DF","Napoli",26,"Serie A",2,"201718#"
"1513","Luigi Sepe","it ITA","GK","Napoli",26,"Serie A",0,"201718#"
"1514","Danilo Avelar","br BRA","DF,FW","Amiens",28,"Ligue 1",1,"201718#"
"1515","Rolando Aarons","eng ENG","FW,MF","Newcastle Utd",21,"Premier League",0,"201718#"
"1516","Christian Atsu","gh GHA","MF,FW","Newcastle Utd",25,"Premier League",2,"201718#"
"1517","Ismaël Traoré","ci CIV","DF","Angers",30,"Ligue 1",3,"201718#"
"1518","Karl Darlow","eng ENG","GK","Newcastle Utd",26,"Premier League",0,"201718#"
"1519","Jonathan de Guzmán","nl NED","MF","Eint Frankfurt",29,"Bundesliga",0,"201718#"
"1520","Paul Dummett","wal WAL","DF","Newcastle Utd",25,"Premier League",0,"201718#"
"1521","Rob Elliot","ie IRL","GK","Newcastle Utd",31,"Premier League",0,"201718#"
"1522","Jesús Gámez","es ESP","DF","Newcastle Utd",32,"Premier League",0,"201718#"
"1523","Dwight Gayle","eng ENG","FW","Newcastle Utd",26,"Premier League",6,"201718#"
"1524","Isaac Hayden","eng ENG","MF","Newcastle Utd",22,"Premier League",1,"201718#"
"1525","Joselu","es ESP","FW","Newcastle Utd",27,"Premier League",4,"201718#"
"1526","Kenedy","br BRA","MF,FW","Newcastle Utd",21,"Premier League",2,"201718#"
"1527","Marco Friedl","at AUT","DF","Bayern Munich",19,"Bundesliga",0,"201718#"
"1528","Simone Romagnoli","it ITA","DF","Bologna",27,"Serie A",0,"201718#"
"1529","Javier Manquillo","es ESP","DF","Newcastle Utd",23,"Premier League",0,"201718#"
"1530","Nenad Tomović","rs SRB","DF","Chievo",29,"Serie A",0,"201718#"
"1531","Fayçal Fajr","ma MAR","MF,FW","Getafe",28,"La Liga",1,"201718#"
"1532","Jacob Murphy","eng ENG","FW,MF","Newcastle Utd",22,"Premier League",1,"201718#"
"1533","Ayoze Pérez","es ESP","MF,FW","Newcastle Utd",24,"Premier League",8,"201718#"
"1534","Matt Ritchie","sco SCO","MF,FW","Newcastle Utd",27,"Premier League",3,"201718#"
"1535","Henri Saivet","sn SEN","MF","Newcastle Utd",26,"Premier League",1,"201718#"
"1536","Lewis Holtby","de GER","MF,FW","Hamburger SV",26,"Bundesliga",6,"201718#"
"1537","Islam Slimani","dz ALG","FW","Newcastle Utd",29,"Premier League",0,"201718#"
"1538","DeAndre Yedlin","us USA","DF","Newcastle Utd",24,"Premier League",0,"201718#"
"1539","Mario Balotelli","it ITA","FW","Nice",26,"Ligue 1",18,"201718#"
"1540","Walter Benítez","ar ARG","GK","Nice",24,"Ligue 1",0,"201718#"
"1541","Patrick Burner","fr FRA","DF","Nice",21,"Ligue 1",0,"201718#"
"1542","Yoan Cardinale","fr FRA","GK","Nice",23,"Ligue 1",0,"201718#"
"1543","Racine Coly","sn SEN","DF","Nice",21,"Ligue 1",0,"201718#"
"1544","Philip Billing","dk DEN","MF","Huddersfield",21,"Premier League",0,"201718#"
"1545","Phil Jagielka","eng ENG","DF","Everton",34,"Premier League",0,"201718#"
"1546","Valentin Eysseric","fr FRA","FW,MF","Nice",25,"Ligue 1",0,"201718#"
"1547","Christophe Jallet","fr FRA","DF","Nice",33,"Ligue 1",0,"201718#"
"1548","Yaya Touré","ci CIV","MF","Manchester City",34,"Premier League",0,"201718#"
"1549","Mickaël Le Bihan","fr FRA","FW,MF","Nice",27,"Ligue 1",0,"201718#"
"1550","Nenad Tomović","rs SRB","DF","Fiorentina",29,"Serie A",0,"201718#"
"1551","Jean-Victor Makengo","fr FRA","FW,MF","Nice",19,"Ligue 1",0,"201718#"
"1552","Charlie Adam","sco SCO","MF","Stoke City",31,"Premier League",0,"201718#"
"1553","Vincent Marcel","fr FRA","FW","Nice",20,"Ligue 1",0,"201718#"
"1554","Alex Ferrari","it ITA","DF","Hellas Verona",23,"Serie A",1,"201718#"
"1555","Nampalys Mendy","fr FRA","MF","Nice",25,"Ligue 1",0,"201718#"
"1556","Romain Perraud","fr FRA","MF","Nice",19,"Ligue 1",0,"201718#"
"1557","Ihsan Sacko","fr FRA","FW","Nice",20,"Ligue 1",0,"201718#"
"1558","Allan Saint-Maximin","fr FRA","FW,MF","Nice",20,"Ligue 1",3,"201718#"
"1559","Michael Hefele","de GER","DF","Huddersfield",26,"Premier League",0,"201718#"
"1560","Wesley Sneijder","nl NED","MF,FW","Nice",33,"Ligue 1",0,"201718#"
"1561","Arnaud Souquet","fr FRA","DF","Nice",25,"Ligue 1",0,"201718#"
"1562","Bassem Srarfi","tn TUN","FW,MF","Nice",20,"Ligue 1",3,"201718#"
"1563","Romain Amalfitano","fr FRA","MF","Dijon",27,"Ligue 1",0,"201718#"
"1564","Dani Alves","br BRA","DF","Paris S-G",34,"Ligue 1",1,"201718#"
"1565","Alphonse Areola","fr FRA","GK","Paris S-G",24,"Ligue 1",0,"201718#"
"1566","Yuri Berchiche","es ESP","DF","Paris S-G",27,"Ligue 1",2,"201718#"
"1567","Edinson Cavani","uy URU","FW","Paris S-G",30,"Ligue 1",28,"201718#"
"1568","Ángel Di María","ar ARG","FW","Paris S-G",29,"Ligue 1",11,"201718#"
"1569","Lassana Diarra","fr FRA","MF","Paris S-G",32,"Ligue 1",0,"201718#"
"1570","Julian Draxler","de GER","MF,FW","Paris S-G",23,"Ligue 1",4,"201718#"
"1571","Gonçalo Guedes","pt POR","FW","Paris S-G",20,"Ligue 1",0,"201718#"
"1572","Raúl Albentosa","es ESP","DF","La Coruña",28,"La Liga",1,"201718#"
